ticket_id,created_at,channel,ticket_text,language,true_category,true_priority,text_norm_v1
TKT000001,2025-01-13T10:53:35.531Z,call,مش قادر ادخل على حسابي???,ar,Account & Authentication,P3,مش قادر ادخل على حسابي???
TKT000002,2024-12-25T12:46:11.897Z,app,جودة الخدمة ردية,ar,Complaints & Service Quality,P4,جودة الخدمة ردية
TKT000003,2025-02-03T08:23:11.468Z,chat,ما في انترنت خالص,,Network / Connectivity,P4,ما في انترنت خالص
TKT000004,2024-12-04T11:58:39.846Z,call,hello,en,Other,P3,hello
TKT000005,2024-12-25T07:34:55.253Z,email,الاشارة راحت تماما,ar,Network / Connectivity,P3,الاشارة راحت تماما
TKT000006,2025-02-05T15:37:42.665Z,web,payment failed but money deducted,en,Billing & Payments,P4,payment failed but money deducted
TKT000007,2024-12-05T16:59:19.933Z,app,ابغى اغير الباقة,ar,Service Activation / Changes,P4,ابغى اغير الباقة
TKT000008,2024-12-13T17:49:45.489Z,chat,billing and also internet problem both,en,Other,P3,billing and also internet problem both
TKT000009,2025-02-06T11:14:45.506Z,chat,no signal in my area,en,Network / Connectivity,P3,no signal in my area
TKT000010,2025-01-27T15:16:24.661Z,call,app not good,en,Other,P3,app not good
TKT000011,2025-02-23T08:32:31.440Z,app,تسجيل الشريحة ما اشتغل,ar,Account & Authentication,P3,تسجيل الشريحة ما اشتغل
TKT000012,2025-02-25T16:23:27.441Z,app,no signal in Egypt!!,,Roaming & International Services,P3,no signal in Egypt!!
TKT000013,2024-12-06T12:12:38.398Z,web,مشكلة في تغيير الباقة,ar,Service Activation / Changes,P3,مشكلة في تغيير الباقة
TKT000014,2025-01-08T16:47:27.090Z,email,ما قدرت استخدم التلفون برا,ar,Roaming & International Services,P4,ما قدرت استخدم التلفون برا
TKT000015,2025-01-28T16:55:56.302Z,chat,otp not received,en,Account & Authentication,P3,otp not received
TKT000016,2025-01-17T09:34:21.236Z,email,plan change issue,en,Service Activation / Changes,P4,plan change issue
TKT000017,2024-12-04T07:43:33.939Z,app,الجهاز ما يتصل,ar,Device / Hardware,P3,الجهاز ما يتصل
TKT000018,2025-02-14T08:44:42.698Z,call,no internet connection at all,en,Network / Connectivity,P3,no internet connection at all
TKT000019,2025-01-30T15:36:37.151Z,chat,ما في خدمة برا البلد,ar,Roaming & International Services,P2,ما في خدمة برا البلد
TKT000020,2025-02-27T08:34:40.013Z,web,charged twice this month check it,en,Billing & Payments,P3,charged twice this month check it
TKT000021,2024-12-23T15:10:00.350Z,app,no signal في منطقتي,en,Network / Connectivity,P4,no signal في منطقتي
TKT000022,2025-02-17T13:13:08.570Z,web,الاتصال يقطع كل شوية,ar,Network / Connectivity,P3,الاتصال يقطع كل شوية
TKT000023,2025-02-26T07:51:50.677Z,email,connection keeps dropping every few minutes???,en,Network / Connectivity,P4,connection keeps dropping every few minutes???
TKT000024,2025-02-07T10:31:30.180Z,chat,مشكلة في الراوتر,ar,Device / Hardware,,مشكلة في الراوتر
TKT000025,2025-01-08T08:54:53.711Z,email,عطل في الجهاز,ar,Device / Hardware,P2,عطل في الجهاز
TKT000026,2025-01-07T17:14:02.023Z,,payment failed but money deducted,en,Billing & Payments,,payment failed but money deducted
TKT000027,2024-12-04T06:51:35.325Z,,problem,en,Other,P4,problem
TKT000028,2025-01-15T13:22:39.044Z,email,سؤال,ar,Other,P3,سؤال
TKT000029,2025-01-07T08:46:47.522Z,app,very bad service unacceptable,en,Complaints & Service Quality,P4,very bad service unacceptable
TKT000030,2024-12-10T21:20:07.745Z,call,نفس المشكلة كل مرة???,ar,Complaints & Service Quality,,نفس المشكلة كل مرة???
TKT000031,2024-12-19T07:14:24.551Z,call,cant use phone overseas,en,Roaming & International Services,P4,cant use phone overseas
TKT000032,2025-02-18T07:24:44.089Z,call,internet not working since yesterday,en,Network / Connectivity,,internet not working since yesterday
TKT000033,2024-12-02T11:04:12.652Z,,charged مرتين pls check,,Billing & Payments,,charged مرتين pls check
TKT000034,2025-01-29T18:50:14.918Z,email,مساعدة???,ar,Other,P4,مساعدة???
TKT000035,2024-12-23T06:17:36.354Z,web,package change مشكلة,ar,Service Activation / Changes,P3,package change مشكلة
TKT000036,2025-01-28T06:32:29.482Z,app,احتاج مساعدة,,Other,P3,احتاج مساعدة
TKT000037,2025-02-03T13:10:21.687Z,app,فيه خطأ في الحساب,ar,Billing & Payments,P3,فيه خطأ في الحساب
TKT000038,2025-01-20T12:42:44.580Z,app,فيه خطأ في الحساب,ar,Billing & Payments,P2,فيه خطأ في الحساب
TKT000039,2025-02-20T06:35:39.281Z,,charged  مرتين  pls  check,ar,Billing & Payments,,charged  مرتين  pls  check
TKT000040,2025-01-13T08:17:31.082Z,app,no signal in my area,en,Network / Connectivity,P4,no signal in my area
TKT000041,2024-12-09T06:00:12.341Z,chat,cant login to my account,en,Account & Authentication,P4,cant login to my account
TKT000042,2025-02-10T08:06:28.660Z,app,app not good,en,Other,P4,app not good
TKT000043,2025-02-19T20:48:41.626Z,web,forgot password help,en,Account & Authentication,,forgot password help
TKT000044,2025-02-28T09:28:36.182Z,call,ما في انترنت خالص,ar,Network / Connectivity,P3,ما في انترنت خالص
TKT000045,2025-01-30T15:28:50.999Z,email,ما في اشارة عندي,ar,Network / Connectivity,P3,ما في اشارة عندي
TKT000046,2025-02-18T13:10:11.144Z,web,downgrade request,en,Service Activation / Changes,P4,downgrade request
TKT000047,2024-12-18T08:42:53.969Z,app,signal lost completely,en,Network / Connectivity,P3,signal lost completely
TKT000048,2024-12-19T09:14:09.238Z,app,complained many times no solution,,Complaints & Service Quality,P4,complained many times no solution
TKT000049,2025-01-23T11:33:15.420Z,app,internet not working since morning,en,Network / Connectivity,P3,internet not working since morning
TKT000050,2024-12-16T06:32:02.653Z,chat,no signal in my area,en,Network / Connectivity,P4,no signal in my area
TKT000051,2025-01-25T14:59:54.077Z,email,الموقع معقد,ar,Other,P4,الموقع معقد
TKT000052,2025-01-17T06:58:16.160Z,call,pin blocked help,en,Account & Authentication,P3,pin blocked help
TKT000053,2024-12-30T15:37:49.196Z,email,الواي  فاي  مش  شغال,ar,Network / Connectivity,P2,الواي  فاي  مش  شغال
TKT000054,2025-02-21T10:38:32.409Z,web,no internet connection at all,en,Network / Connectivity,P4,no internet connection at all
TKT000055,2025-02-03T00:54:44.912Z,web,pin blocked help,en,Account & Authentication,P2,pin blocked help
